"id";"ID";"prio";"date_arrivee";"minutes_depuis_8h"
1;"8";"Standard";2015-11-12 09:14:42.796;74,7132666667302
2;"10";"Standard";2015-11-12 09:17:17.735;77,2955833315849
3;"18";"Standard";2015-11-12 09:27:26.188;87,4364666660627
4;"21";"Standard";2015-11-12 09:39:34.316;99,571933333079
5;"22";"Standard";2015-11-12 09:42:15.119;102,251983332634
6;"23";"Prioritaire";2015-11-12 09:44:11.141;104,185683333874
7;"29";"Standard";2015-11-12 10:06:24.561;126,409350001812
8;"39";"Standard";2015-11-12 10:20:25.804;140,430066665014
9;"43";"Standard";2015-11-12 10:24:15.895;144,264916666349
10;"48";"Prioritaire";2015-11-12 10:32:26.94;152,449000000954
11;"53";"Standard";2015-11-12 10:40:10.282;160,171366667747
12;"58";"Prioritaire";2015-11-12 10:45:12.158;165,202633333206
13;"59";"Standard";2015-11-12 10:47:08.675;167,144583332539
14;"65";"Standard";2015-11-12 11:01:40.737;181,678949999809
15;"66";"Standard";2015-11-12 11:05:47.283;185,788049999873
16;"72";"Prioritaire";2015-11-12 11:12:08.692;192,144866665204
17;"74";"Standard";2015-11-12 11:15:24.158;195,402633333206
18;"80";"Standard";2015-11-12 11:20:02.424;200,040400000413
19;"82";"Prioritaire";2015-11-12 11:20:24.29;200,404833332698
20;"89";"Prioritaire";2015-11-12 11:31:08.165;211,136083332698
21;"94";"Standard";2015-11-12 11:38:59.044;218,984066665173
22;"100";"Prioritaire";2015-11-12 11:46:19.279;226,321316667398
23;"99";"Standard";2015-11-12 11:48:04.51;228,075166666508
24;"104";"Standard";2015-11-12 11:48:43.414;228,723566667239
25;"106";"Standard";2015-11-12 11:51:59.704;231,995066666603
26;"112";"Prioritaire";2015-11-12 11:55:10.903;235,181716668606
27;"116";"Standard";2015-11-12 12:05:49.704;245,828399999936
28;"122";"Prioritaire";2015-11-12 12:10:16.216;250,270266668002
29;"123";"Standard";2015-11-12 12:10:50.164;250,836066667239
30;"127";"Standard";2015-11-12 12:24:58.745;264,979083331426
31;"134";"Standard";2015-11-12 12:36:28.294;276,471566665173
32;"136";"Prioritaire";2015-11-12 12:39:13.736;279,228933334351
33;"138";"Standard";2015-11-12 12:45:06.827;285,113783331712
34;"144";"Standard";2015-11-12 12:56:37.556;296,625933333238
35;"151";"Prioritaire";2015-11-12 13:34:09.847;334,164116664728
36;"153";"Standard";2015-11-12 13:38:30.879;338,514649999142
37;"166";"Standard";2015-11-12 14:40:35.6;400,593333331744
38;"170";"Standard";2015-11-12 14:49:24.401;409,406683333715
39;"176";"Prioritaire";2015-11-12 14:53:11.615;413,193583333492
40;"181";"Standard";2015-11-12 14:59:59.94;419,999000000954
41;"185";"Prioritaire";2015-11-12 15:04:49.14;424,819000001748
42;"186";"Standard";2015-11-12 15:06:10.935;426,182249999046
43;"191";"Standard";2015-11-12 15:12:58.399;432,97331666549
44;"210";"Standard";2015-11-12 15:30:49.441;450,824016666412
45;"215";"Standard";2015-11-12 15:35:02.689;455,044816664855
46;"226";"Prioritaire";2015-11-12 15:48:54.716;468,911933334669
47;"227";"Standard";2015-11-12 15:49:04.243;469,070716667175
48;"232";"Prioritaire";2015-11-12 15:54:18.978;474,31629999876
49;"237";"Standard";2015-11-12 16:04:28.033;484,46721666654
50;"239";"Prioritaire";2015-11-12 16:05:52.221;485,870349999269
51;"242";"Standard";2015-11-12 16:08:12.986;488,216433334351
52;"253";"Standard";2015-11-12 16:23:24.615;503,410250000159
53;"255";"Standard";2015-11-12 16:29:37.298;509,621633334955
54;"259";"Standard";2015-11-12 16:40:12.16;520,202666668097
55;"262";"Prioritaire";2015-11-12 16:42:21.14;522,352333335082
56;"263";"Standard";2015-11-12 16:44:56.624;524,943733334541
57;"272";"Standard";2015-11-12 16:54:38.156;534,635933331649
58;"275";"Standard";2015-11-12 17:03:39.912;543,665199999015
59;"277";"Standard";2015-11-12 17:08:15.129;548,252149999142
60;"279";"Standard";2015-11-12 17:15:02.737;555,045616666476
61;"280";"Prioritaire";2015-11-12 17:17:20.683;557,344716668129
62;"285";"Standard";2015-11-12 17:34:50.364;574,839400001367
63;"287";"Standard";2015-11-12 17:39:24.338;579,405633334319
64;"286";"Prioritaire";2015-11-12 17:39:39.585;579,659750000636
65;"293";"Standard";2015-11-12 18:05:55.216;605,920266668002
66;"296";"Standard";2015-11-12 18:18:21.04;618,350666666031
67;"297";"Standard";2015-11-12 18:35:38.057;635,63428333203
68;"298";"Standard";2015-11-12 18:51:07.294;651,121566665173
